مزرعه,سن,واریته,روز,گروه,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4
01-22,R5,CP69,شنبه,1,3497950.354,289135.4045,3497981.714,288888.9045,3497031.634,288768.0345,3497000.274,289014.5345
01-28,P,CP69,شنبه,1,3497853.234,289898.7645,3497884.594,289652.2445,3496934.514,289531.3845,3496903.154,289777.8945
02-03,R2,CP69,شنبه,2,3498660.593,283967.2816,3498691.965,283720.7733,3497689.904,283593.2945,3497658.544,283839.8045
02-11,R3,CP69,شنبه,2,3498531.566,284981.0957,3498562.939,284734.5873,3497560.934,284607.1145,3497529.564,284853.6245
02-19,P,CP69,شنبه,2,3498660.593,283967.2816,3498691.965,283720.7733,3497689.904,283593.2945,3497658.544,283839.8045
02-27,P,CP69,شنبه,2,3498756.985,283209.8858,3498788.358,282963.3774,3497786.264,282835.8945,3497754.904,283082.4045
03-08,P,CP69,شنبه,1,3497159.134,287234.8645,3497190.494,286988.3545,3496240.414,286867.4845,3496209.054,287113.9945
03-16,R2,CP69,شنبه,1,3497030.5,288245.9635,3497061.514,288002.1845,3496111.434,287881.3145,3496080.419,288125.096
03-18,R4,CP69,شنبه,1,3496998.284,288499.1745,3497028.614,288260.8445,3496078.514,288139.9745,3496048.204,288378.3045
03-22,R3,CP69,شنبه,1,3496933.804,289006.0845,3496965.164,288759.5745,3496015.084,288638.7045,3495983.724,288885.2145
03-30,P,IR01-412,یکشنبه,1,3496804.824,290019.9145,3496836.184,289773.4045,3495886.104,289652.5345,3495854.744,289899.0445
03-32,P,IRC00-14,یکشنبه,1,3496773.094,290269.3067,3496803.554,290029.8345,3495853.474,289908.9645,3495822.547,290152.1318
04-01,R1,CP69,یکشنبه,2,3497332.854,285868.9345,3496382.774,285748.0645,3496350.844,285999.0445,3497300.924,286119.9145
04-03,R2,CP48,یکشنبه,2,3497334.114,285859.0145,3497365.474,285612.5045,3496415.394,285491.6345,3496384.034,285738.1445
04-05,R2,CP57,یکشنبه,2,3497365.984,285608.5245,3497397.344,285362.0045,3496447.264,285241.1345,3496415.904,285487.6545
04-11,P,CP73,شنبه,2,3497463.094,284845.1645,3497494.454,284598.6545,3496544.374,284477.7845,3496513.014,284724.2945
04-15,P,CP69,شنبه,2,3497527.584,284338.2545,3497557.904,284099.9245,3496607.824,283979.0545,3496577.504,284217.3845
05-01,R3,CP69,یکشنبه,1,3496265.494,286345.4745,3496298.114,286089.1045,3495347.994,285968.5045,3495315.414,286224.6045
05-06,R1,CP48,دوشنبه,1,3495182.474,286722.8245,3495213.844,286476.2945,3494263.764,286355.4245,3494232.394,286601.9545
05-07,R1,CP69,یکشنبه,1,3496168.384,287108.8245,3496199.744,286862.3145,3495249.664,286741.4445,3495218.304,286987.9545
05-10,R2,CP73,دوشنبه,1,3495117.984,287229.7245,3495149.354,286983.2145,3494199.274,286862.3445,3494167.904,287108.8545
05-11,R1,CP73,یکشنبه,1,3496103.894,287615.7345,3496135.254,287369.2245,3495185.174,287248.3545,3495153.814,287494.8645
05-15,R4,CP73,یکشنبه,1,3496039.751,288119.9137,3496070.764,287876.1445,3495120.684,287755.2745,3495089.67,287999.0535
05-16,P,CP65,دوشنبه,1,3495021.22,287990.3435,3495052.234,287746.5645,3494102.154,287625.6945,3494071.14,287869.4735
05-18,R2,CP69,دوشنبه,1,3494989.004,288243.5545,3495019.334,288005.2245,3494069.254,287884.3545,3494038.924,288122.6845
