مزرعه,سن,واریته,روز ,اداره,گروه,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4
01-22,R5,CP69,شنبه,1,1,3497950.3541,289135.4045,3497981.7141,288888.9045,3497031.6341,288768.0345,3497000.2741,289014.5345
01-28,P,CP69,شنبه,1,1,3497853.2341,289898.7645,3497884.5941,289652.2445,3496934.5141,289531.3845,3496903.1541,289777.8945
02-03,R2,CP69,شنبه,2,2,3498660.5926,283967.2816,3498691.9653,283720.7733,3497689.9041,283593.2945,3497658.5441,283839.8045
02-11,R3,CP69,شنبه,2,2,3498531.566,284981.0957,3498562.9387,284734.5873,3497560.9341,284607.1145,3497529.5641,284853.6245
02-19,P,CP69,شنبه,2,2,3498660.5926,283967.2816,3498691.9653,283720.7733,3497689.9041,283593.2945,3497658.5441,283839.8045
02-27,P,CP69,شنبه,2,2,3498756.9852,283209.8858,3498788.3579,282963.3774,3497786.2641,282835.8945,3497754.9041,283082.4045
03-08,P,CP69,شنبه,1,1,3497159.1341,287234.8645,3497190.4941,286988.3545,3496240.4141,286867.4845,3496209.0541,287113.9945
03-16,R2,CP69,شنبه,1,1,3497030.4996,288245.9635,3497061.5141,288002.1845,3496111.4341,287881.3145,3496080.4192,288125.096
03-18,R4,CP69,شنبه,1,1,3496998.2841,288499.1745,3497028.6141,288260.8445,3496078.5141,288139.9745,3496048.2041,288378.3045
03-22,R3,CP69,شنبه,1,1,3496933.8041,289006.0845,3496965.1641,288759.5745,3496015.0841,288638.7045,3495983.7241,288885.2145
03-30,P,IR01-412,یکشنبه,1,1,3496804.8241,290019.9145,3496836.1841,289773.4045,3495886.1041,289652.5345,3495854.7441,289899.0445
03-32,P,IRC00-14,یکشنبه,1,1,3496773.0938,290269.3067,3496803.5541,290029.8345,3495853.4741,289908.9645,3495822.5468,290152.1318
04-01,R1,CP69,یکشنبه,2,2,3497332.8541,285868.9345,3496382.7741,285748.0645,3496350.8441,285999.0445,3497300.9241,286119.9145
04-03,R2,CP48,یکشنبه,2,2,3497334.1141,285859.0145,3497365.4741,285612.5045,3496415.3941,285491.6345,3496384.0341,285738.1445
04-05,R2,CP57,یکشنبه,2,2,3497365.9841,285608.5245,3497397.3441,285362.0045,3496447.2641,285241.1345,3496415.9041,285487.6545
04-11,P,CP73,شنبه,2,2,3497463.0941,284845.1645,3497494.4541,284598.6545,3496544.3741,284477.7845,3496513.0141,284724.2945
04-15,P,CP69,شنبه,2,2,3497527.5841,284338.2545,3497557.9041,284099.9245,3496607.8241,283979.0545,3496577.5041,284217.3845
05-01,R3,CP69,یکشنبه,1,1,3496265.4941,286345.4745,3496298.1141,286089.1045,3495347.9941,285968.5045,3495315.4141,286224.6045
05-06,R1,CP48,دوشنبه,1,1,3495182.4741,286722.8245,3495213.8441,286476.2945,3494263.7641,286355.4245,3494232.3941,286601.9545
05-07,R1,CP69,یکشنبه,1,1,3496168.3841,287108.8245,3496199.7441,286862.3145,3495249.6641,286741.4445,3495218.3041,286987.9545
05-10,R2,CP73,دوشنبه,1,1,3495117.9841,287229.7245,3495149.3541,286983.2145,3494199.2741,286862.3445,3494167.9041,287108.8545
05-11,R1,CP73,یکشنبه,1,1,3496103.8941,287615.7345,3496135.2541,287369.2245,3495185.1741,287248.3545,3495153.8141,287494.8645
05-15,R4,CP73,یکشنبه,1,1,3496039.7508,288119.9137,3496070.7641,287876.1445,3495120.6841,287755.2745,3495089.6696,287999.0535
05-16,P,CP65,دوشنبه,1,1,3495021.2196,287990.3435,3495052.2341,287746.5645,3494102.1541,287625.6945,3494071.1396,287869.4735
05-18,R2,CP69,دوشنبه,1,1,3494989.0041,288243.5545,3495019.3341,288005.2245,3494069.2541,287884.3545,3494038.9241,288122.6845
05-19,P,CP57,یکشنبه,1,1,3495974.9141,288629.5645,3496006.2741,288383.0545,3495056.1941,288262.1845,3495024.8341,288508.6945
05-20,R1,CP57,دوشنبه,1,1,3494956.3841,288499.9845,3494987.7441,288253.4745,3494037.6641,288132.6045,3494006.3041,288379.1145
05-22,P,CP73,دوشنبه,1,1,3494924.5241,288750.4645,3494955.8841,288503.9545,3494005.8041,288383.0845,3493974.4441,288629.5945
05-30,P,CP69,دوشنبه,1,1,3496804.8241,290019.9145,3496836.1841,289773.4045,3495886.1041,289652.5345,3495854.7441,289899.0445
06-02,R2,CP69,یکشنبه,2,2,3496310.1741,285993.8745,3496342.1041,285742.8945,3495392.0241,285622.0245,3495360.0942,285873.0046
06-03,R1,CP48,دوشنبه,2,2,3495324.8341,285603.3945,3495356.1941,285356.8845,3494406.1141,285236.0145,3494374.7541,285482.5245
06-04,R1,CP48,یکشنبه,2,2,3496343.3641,285732.9745,3496374.7241,285486.4645,3495424.6441,285365.5945,3495393.2841,285612.1045
06-05,R1,CP57,دوشنبه,2,2,3495356.7041,285352.9045,3495388.0641,285106.3845,3494437.9841,284985.5145,3494406.6241,285232.0345
06-10,P,CP73,یکشنبه,2,2,3496439.7241,284975.5645,3496471.0841,284729.0545,3495521.0041,284608.1845,3495489.6441,284854.6945
06-11,R1,CP73,دوشنبه,2,2,3495453.8141,284589.5445,3495485.1741,284343.0345,3494535.0941,284222.1645,3494503.7341,284468.6745
06-12,R2,CP73,یکشنبه,2,2,3496472.3441,284719.1245,3496503.7041,284472.6145,3495553.6241,284351.7445,3495522.2641,284598.2545
06-16,R3,CP69,دوشنبه,2,2,3496536.8341,284212.2145,3496567.1541,283973.8845,3495617.0741,283853.0145,3495586.7541,284091.3445
06-18,R1,CP69,دوشنبه,2,2,3496569.7441,283953.5545,3496600.0641,283715.2245,3495649.9841,283594.3545,3495619.6641,283832.6845
07-08,R2,CP48,سه شنبه,1,1,3494131.3241,286849.6645,3494162.6841,286603.1545,3493219.5107,286483.1645,3493188.1494,286729.6743
07-10,P,CP73,سه شنبه,1,1,3494099.4541,287100.1445,3494130.8141,286853.6345,3493187.6443,286733.6449,3493156.283,286980.1548
07-12,R1,CP73,سه شنبه,1,1,3494066.8341,287356.5745,3494098.1941,287110.0645,3493155.021,286990.0745,3493123.6597,287236.5843
07-18,P,CP69,سه شنبه,1,1,3493970.4741,288113.9745,3494000.7941,287875.6445,3493057.6231,287755.6535,3493027.3023,287993.9847
08-01,R2,CP48,دوشنبه,2,2,3494307.0241,285483.9845,3493354.9541,285362.8645,3493323.025,285613.8447,3494275.0941,285734.9645
08-09,R1,CP73,دوشنبه,2,2,3494404.6441,284716.6545,3494436.0041,284470.1445,3493483.9341,284349.0245,3493452.5741,284595.5345
08-17,R4,CP69,سه شنبه,2,2,3494534.6641,283694.6545,3494564.9841,283456.3245,3493612.9141,283335.1945,3493582.5941,283573.5345
08-19,P,CP73,سه شنبه,2,2,3494566.2441,283446.4045,3494597.6041,283199.8945,3493645.5341,283078.7645,3493614.1741,283325.2745
08-25,P,CP69,سه شنبه,2,2,3494662.6041,282689.0045,3494693.9641,282442.4945,3493741.8941,282321.3645,3493710.5341,282567.8745
09-04,R4,CP69,چهارشنبه,1,1,3493179.269,286213.4265,3493210.6352,285966.926,3492249.5766,285844.6564,3492218.216,286091.1577
09-08,R1,CP48,چهارشنبه,1,1,3493114.7741,286720.3445,3493146.1341,286473.8245,3492185.0862,286351.5663,3492153.7245,286598.0761
09-14,R2,CP73,سه شنبه,1,1,3493018.4215,287477.7452,3493049.7841,287231.2245,3492088.7291,287108.9554,3492057.3661,287355.476
09-16,R4,CP73,سه شنبه,1,1,3492986.1441,287731.4445,3493017.1541,287487.6645,3492056.104,287365.396,3492025.0893,287609.1793
09-20,P,CP57,سه شنبه,1,1,3492921.3041,288241.0845,3492952.6641,287994.5745,3491991.6136,287872.306,3491960.252,288118.8158
10-01,R1,CP48,سه شنبه,2,2,3493256.5641,285605.3945,3493288.4941,285354.4145,3492327.4747,285232.1499,3492295.544,285483.1298
10-11,R2,CP73,سه شنبه,2,2,3493418.7341,284330.6445,3493450.1041,284084.1345,3492489.0757,283961.8701,3492457.7153,284208.38
10-13,R1,CP73,سه شنبه,2,2,3493450.6041,284080.1645,3493481.9641,283833.6545,3492520.9412,283711.3895,3492489.5808,283957.8994
10-15,P,CP69,سه شنبه,2,2,3493483.2241,283823.7345,3493513.5441,283585.4045,3492552.523,283463.1397,3492522.2032,283701.4697
10-23,R1,CP69,سه شنبه,2,2,3493612.2041,282809.9045,3493643.5641,282563.3945,3492682.5407,282441.1294,3492651.1803,282687.6394
11-06,R5,CP69,پنجشنبه,1,1,3492122.8941,286333.5845,3492154.2541,286087.0545,3491223.0241,285968.5845,3491191.6541,286215.1145
11-12,P,CP73,پنجشنبه,1,1,3492025.7841,287096.9145,3492057.1441,286850.4045,3491125.9041,286731.9345,3491094.5441,286978.4445
11-16,R1,CP69,چهارشنبه,1,1,3491961.6341,287601.1045,3491992.6541,287357.3245,3491061.4141,287238.8545,3491030.4041,287482.6345
11-18,R2,CP69,چهارشنبه,1,1,3491929.4241,287854.3145,3491959.7441,287615.9845,3491028.5141,287497.5145,3490998.1941,287735.8445
11-20,R2,CP57,چهارشنبه,1,1,3491896.8041,288110.7445,3491928.1641,287864.2345,3490996.9241,287745.7645,3490965.5641,287992.2745
11-22,R3,CP73,چهارشنبه,1,1,3491864.9341,288361.2245,3491896.2941,288114.7145,3490965.0641,287996.2445,3490933.7041,288242.7545
11-26,R3,CP69,چهارشنبه,1,1,3491800.4441,288868.1445,3491831.8041,288621.6345,3490900.5741,288503.1645,3490869.2141,288749.6745
12-04,R2,CP48,چهارشنبه,2,2,3492288.0741,285217.0845,3492319.4341,284970.5745,3491365.3841,284849.1945,3491334.0141,285095.7045
12-06,R2,CP73,چهارشنبه,2,2,3492319.9341,284966.5945,3492351.3041,284720.0745,3491397.2541,284598.6945,3491365.8841,284845.2145
12-12,R1,CP73,چهارشنبه,2,2,3491410.0952,283832.1818,3491442.9095,283574.2608,3490503.7441,283454.7745,3490470.9298,283712.6955
12-13,R1,CP69,چهارشنبه,2,2,3490484,283713,3490517,283457,3491405,283570,3491369,283831
12-15,R5,CP69,چهارشنبه,2,2,3491444.1715,283564.3411,3491474.4922,283326.0112,3490535.3241,283206.5245,3490505.0041,283444.8545
12-21,R2,CP69,چهارشنبه,2,2,3491555.4141,282808.8545,3491586.7741,282562.3445,3490632.7241,282440.9645,3490601.3641,282687.4745
12-24,P,CP69,چهارشنبه,2,2,3492610.5341,282682.5045,3492641.9041,282435.9945,3491687.8441,282314.6145,3491656.4841,282561.1245
12-27,P,CP65,چهارشنبه,2,2,3491652.5341,282045.5045,3491699.7633,281674.2412,3491565.8415,281673.1197,3491263.3916,281749.054
13-04,R4,CP69,پنجشنبه,1,1,3491145.1459,285954.6534,3491176.5079,285708.1336,3490247.2281,285589.913,3490215.8657,285836.4327
13-10,R6,CP69,پنجشنبه,1,1,3491048.7928,286712.033,3491080.1523,286465.5328,3490150.8725,286347.3024,3490119.5114,286593.8121
13-22,R2,CP73,پنجشنبه,1,1,3490855.3245,288232.7831,3490886.6852,287986.2733,3489957.4018,287868.0522,3489926.0419,288114.5523
14-02,R5,CP69,شنبه,4,4,3490237.6529,285221.3444,3490269.5841,284970.3645,3489315.5341,284848.9845,3489283.6041,285099.9645
14-07,R2,CP57,شنبه,4,4,3489312.8441,284323.4245,3489344.2041,284076.9145,3488390.1541,283955.5345,3488358.7941,284202.0445
14-09,R2,CP73,شنبه,4,4,3489344.7141,284072.9445,3489376.0741,283826.4345,3488422.0241,283705.0545,3488390.6641,283951.5745
14-16,R5,CP69,شنبه,4,4,3490464.3341,283439.6845,3490494.6541,283201.3545,3489540.6041,283079.9745,3489510.2841,283318.3045
14-18,P,CP65,شنبه,4,4,3490497.2341,283181.0245,3490527.5641,282942.6945,3489573.5141,282821.3145,3489543.1841,283059.6445
14-19,P,CP73,شنبه,4,4,3489506.3241,282802.6845,3489537.6841,282556.1745,3488583.6341,282434.7945,3488552.2741,282681.3045
14-21,P,IR01-412,شنبه,4,4,3489538.1941,282552.2045,3489569.5541,282305.6945,3488615.5041,282184.3145,3488584.1441,282430.8245
14-24,P,CP69,شنبه,4,4,3490593.3141,282425.8545,3490624.6841,282179.3445,3489670.6341,282057.9645,3489639.2641,282304.4745
15-03,R2,CP69,شنبه,3,3,3490160.3541,285829.3645,3490191.7141,285582.8545,3489237.6641,285461.4845,3489206.3041,285707.9945
15-04,P,CP69,شنبه,3,3,3489137.8541,285699.2845,3489169.2141,285452.7745,3488215.1641,285331.3945,3488183.8041,285577.9045
15-07,R2,CP48,شنبه,3,3,3490095.8641,286336.2745,3490127.2241,286089.7645,3489173.1741,285968.3945,3489141.8141,286214.9045
15-08,R1,CP65,یکشنبه,3,3,3489073.3641,286206.1945,3489104.7241,285959.6845,3488150.6741,285838.3045,3488119.3141,286084.8145
15-10,R1,CP73,یکشنبه,3,3,3489041.5041,286456.6745,3489072.8641,286210.1645,3488118.8141,286088.7845,3488087.4541,286335.2945
15-11,R2,CP73,شنبه,3,3,3490031.3741,286843.1845,3490062.7341,286596.6745,3489108.6941,286475.3045,3489077.3241,286721.8145
15-12,P,CP73,یکشنبه,3,3,3489008.8741,286713.1045,3489040.2341,286466.5945,3488086.1841,286345.2145,3488054.8241,286591.7345
15-17,R3,CP69,شنبه,3,3,3489935.0241,287600.5845,3489965.3441,287362.2545,3489011.2941,287240.8745,3488980.9741,287479.2045
15-22,P,CP57,یکشنبه,3,3,3488848.0341,287977.4145,3488879.3941,287730.9045,3487925.3441,287609.5245,3487893.9841,287856.0345
15-24,R4,CP73,یکشنبه,3,3,3488815.4041,288233.8545,3488846.7641,287987.3445,3487892.7141,287865.9645,3487861.3541,288112.4845
15-25,R4,CP69,شنبه,3,3,3489806.0441,288614.4145,3489837.4041,288367.9045,3488883.3541,288246.5345,3488851.9941,288493.0345
15-27,R8,CP69,شنبه,3,3,3488783.5441,288484.3345,3488814.9041,288237.8245,3487860.8541,288116.4445,3487829.4941,288362.9545
16-01,P,CP48,یکشنبه,4,4,3487230.7541,284583.7545,3486278.0941,284462.5645,3486246.2782,284713.5486,3487198.8339,284834.7345
16-03,R1,CP48,یکشنبه,4,4,3487232.0241,284573.8345,3487263.3841,284327.3245,3486310.7241,284206.1245,3486279.3641,284452.6345
16-04,R1,CP48,یکشنبه,4,4,3488253.1341,284703.7345,3488284.4941,284457.2245,3487334.8341,284336.0345,3487300.4741,284582.5445
16-07,R1,CP57,یکشنبه,4,4,3487296.5141,284066.9045,3487327.8741,283820.3945,3486375.2141,283699.1945,3486343.8541,283945.7045
16-09,R1,CP73,یکشنبه,4,4,3487328.3741,283816.4245,3487359.7441,283569.9145,3486407.0841,283448.7145,3486375.7141,283695.2245
