مزرعه,مساحت (ha),PN1,PE1,PN2,PE2,PN3,PE3,PN4,PE4,PN9,PE9,PN10,PE10,PN11,PE11
01-18,23.01,3498014.84,288628.49,3498045.16,288390.16,3497095.08,288269.29,3497064.76,288507.62,,,,,,
01-20,23.80,3497982.21,288884.93,3498013.57,288638.41,3497063.49,288517.55,3497032.13,288764.06,,,,,,
01-22,23.80,3497950.35,289135.40,3497981.71,288888.90,3497031.63,288768.03,3497000.27,289014.53,,,,,,
01-24,23.80,3497917.72,289391.85,3497949.08,289145.33,3496999.00,289024.47,3496967.64,289270.98,,,,,,
01-26,23.80,3497885.86,289642.32,3497917.22,289395.82,3496967.14,289274.95,3496935.78,289521.45,,,,,,
01-28,23.80,3497853.23,289898.76,3497884.59,289652.24,3496934.51,289531.38,3496903.15,289777.89,,,,,,
01-30,23.80,3497821.37,290149.23,3497852.73,289902.72,3496902.65,289781.85,3496871.29,290028.36,,,,,,
01-32,22.92,3497790.15,290394.68,3497820.10,290159.15,3496870.02,290038.28,3496839.59,290277.50,,,,,,
02-01,25.55,3498369.33,286255.84,3498401.27,286004.86,3497399.32,285877.39,3497367.40,286128.37,,,,,,
02-03,25.10,3498660.59,283967.28,3498691.97,283720.77,3497689.90,283593.29,3497658.54,283839.80,,,,,,
02-05,25.10,3498434.42,285744.45,3498465.79,285497.93,3497463.81,285370.46,3497432.45,285616.98,,,,,,
02-07,25.10,3498467.05,285488.01,3498498.42,285241.50,3497496.43,285114.03,3497465.07,285360.54,,,,,,
02-09,25.10,3498498.93,285237.53,3498530.30,284991.03,3497528.30,284863.55,3497496.94,285110.06,,,,,,
02-11,25.10,3498531.57,284981.10,3498562.94,284734.59,3497560.93,284607.11,3497529.56,284853.62,,,,,,
02-13,25.10,3498563.44,284730.62,3498594.82,284484.11,3497592.79,284356.63,3497561.43,284603.14,,,,,,
02-15,23.37,3498596.08,284474.19,3498625.19,284245.49,3497623.37,284116.31,3497594.05,284346.71,,,,,,
02-17,23.45,3498648.65,2152.94,3498659.33,283977.20,3497657.28,283849.72,3497626.96,284088.05,,,,,,
02-19,25.10,3498660.59,283967.28,3498691.97,283720.77,3497689.90,283593.29,3497658.54,283839.80,,,,,,
02-21,25.10,3498692.47,283716.80,3498723.84,283470.29,3497721.77,283342.81,3497690.41,283589.32,,,,,,
02-23,25.10,3498725.11,283460.36,3498756.48,283213.86,3497754.39,283086.37,3497723.03,283332.88,,,,,,
02-25,25.10,3498756.99,283209.89,3498788.36,282963.38,3497786.26,282835.89,3497754.90,283082.40,,,,,,
02-27,25.10,3498756.99,283209.89,3498788.36,282963.38,3497786.26,282835.89,3497754.90,283082.40,,,,,,
02-29,25.10,3498821.50,282702.98,3498852.87,282456.47,3497850.75,282328.98,3497819.39,282575.49,,,,,,
02-31,25.10,3498854.13,282446.55,3498885.51,282200.03,3497883.37,282072.54,3497852.01,282319.06,,,,,,
02-33,25.10,3498886.01,282196.07,3498917.38,281949.56,3497915.24,281822.07,3497883.88,282068.58,,,,,,
02-35,25.10,3498918.65,281939.63,3498950.02,281693.13,3497947.86,281565.63,3497916.50,281812.14,,,,,,
02-37,17.02,3498950.53,281689.16,3498971.80,281522.02,3497969.63,281394.52,3497948.37,281561.67,,,,,,
02-39,15.13,3498973.06,281512.09,3499003.96,281269.30,3497977.82,281330.20,3497970.89,281384.59,,,,,,
03-08,23.80,3497159.13,287234.86,3497190.49,286988.35,3496240.41,286867.48,3496209.05,287113.99,,,,,,
03-10,23.80,3497127.26,287485.34,3497158.63,287238.83,3496208.55,287117.96,3496177.18,287364.47,,,,,,
03-12,23.78,3497094.64,287741.77,3497126.00,287495.26,3496175.92,287374.88,3496144.56,287620.90,,,,,,
03-14,23.77,3497062.78,287992.25,3497094.14,287745.74,3496144.06,287625.37,3496112.70,287871.38,,,,,,
03-16,23.54,3497030.50,288245.96,3497061.51,288002.18,3496111.43,287881.31,3496080.42,288125.10,,,,,,
03-18,23.01,3496998.28,288499.17,3497028.61,288260.84,3496078.51,288139.97,3496048.20,288378.30,,,,,,
03-20,23.80,3496965.66,288755.60,3496997.02,288509.09,3496046.94,288388.22,3496015.58,288634.68,,,,,,
03-22,23.80,3496933.80,289006.08,3496965.16,288759.57,3496015.08,288638.70,3495983.72,288885.21,,,,,,
03-24,23.80,3496901.17,289262.52,3496932.53,289016.01,3495982.45,288895.14,3495951.09,289141.65,,,,,,
03-26,23.80,3496869.31,289513.00,3496900.67,289266.49,3495950.59,289145.62,3495919.23,289392.13,,,,,,
03-28,23.80,3496836.68,289769.43,3496868.04,289522.92,3495917.96,289402.05,3495886.60,289648.56,,,,,,
03-30,23.80,3496804.82,290019.91,3496836.18,289773.40,3495886.10,289652.53,3495854.74,289899.04,,,,,,
03-32,23.30,3496773.09,290269.31,3496803.55,290029.83,3495853.47,289908.96,3495822.55,290152.13,,,,,,
04-01,24.23,3497332.85,285868.93,3496382.77,285748.06,3496350.84,285999.04,3497300.92,286119.91,,,,,,
04-03,23.80,3497334.11,285859.01,3497365.47,285612.50,3496415.39,285491.63,3496384.03,285738.14,,,,,,
04-05,23.80,3497365.98,285608.52,3497397.34,285362.00,3496447.26,285241.13,3496415.90,285487.65,,,,,,
04-07,23.80,3497398.60,285352.08,3497429.96,285105.57,3496479.88,284984.70,3496448.52,285231.21,,,,,,
04-09,23.80,3497430.47,285101.60,3497461.83,284855.09,3496511.75,284734.22,3496480.39,284980.73,,,,,,
04-11,23.80,3497463.09,284845.16,3497494.45,284598.65,3496544.37,284477.78,3496513.01,284724.29,,,,,,
04-13,23.80,3497494.96,284594.68,3497526.32,284348.17,3496576.24,284227.30,3496544.88,284473.81,,,,,,
04-15,23.01,3497527.58,284338.25,3497557.90,284099.92,3496607.82,283979.05,3496577.50,284217.38,,,,,,
04-17,23.01,3497560.49,284079.59,3497590.81,283841.26,3496640.73,283720.39,3496610.41,283958.72,,,,,,
04-19,23.80,3497592.07,283831.34,3497623.43,283584.83,3496673.35,283463.96,3496641.99,283710.47,,,,,,
04-21,23.80,3497623.94,283580.86,3497655.30,283334.35,3496705.22,283213.48,3496673.86,283459.99,,,,,,
04-23,23.80,3497656.56,283324.42,3497687.92,283077.91,3496737.84,282957.04,3496706.48,283203.55,,,,,,
04-25,23.80,3497688.43,283073.94,3497719.79,282827.43,3496769.71,282706.56,3496738.35,282953.07,,,,,,
04-27,23.80,3497721.05,282817.51,3497752.41,282571.00,3496802.33,282450.13,3496770.97,282696.64,,,,,,
04-29,18.05,3497752.92,282567.03,3497784.28,282320.52,3497293.22,282258.05,3496802.84,282446.16,,,,,,
04-31,12.98,3497785.54,282310.60,3497816.90,282064.08,3497273.68,281994.97,3497292.47,282247.87,,,,,,
04-33,14.26,3497817.41,282060.12,3497848.75,281813.61,3497254.59,281738.02,3497273.38,281990.91,,,,,,
04-35,15.37,3497850.03,281803.68,3497881.01,281560.15,3497235.27,281478.00,3497253.83,281727.83,,,,,,
04-37,10.43,3497882.28,281550.23,3497909.77,281334.11,3497227.31,281370.90,3497234.51,281467.82,,,,,,
05-01,24.74,3496265.49,286345.47,3496298.11,286089.10,3495347.99,285968.50,3495315.41,286224.60,,,,,,
05-02,24.71,3495246.96,286215.89,3495279.54,285959.81,3494329.43,285839.21,3494296.88,286095.02,,,,,,
05-03,23.80,3496232.87,286601.91,3496264.23,286355.40,3495314.15,286234.53,3495282.79,286481.04,,,,,,
05-04,23.80,3495214.34,286472.33,3495245.70,286225.82,3494295.62,286104.95,3494264.26,286351.46,,,,,,
05-05,23.80,3496201.00,286852.40,3496232.37,286605.87,3495282.29,286485.00,3495250.92,286731.53,,,,,,
05-06,23.80,3495182.47,286722.82,3495213.84,286476.29,3494263.76,286355.42,3494232.39,286601.95,,,,,,
05-07,23.80,3496168.38,287108.82,3496199.74,286862.31,3495249.66,286741.44,3495218.30,286987.95,,,,,,
05-08,23.80,3495149.85,286979.24,3495181.21,286732.73,3494231.13,286611.86,3494199.77,286858.37,,,,,,
05-09,23.80,3496136.51,287359.29,3496167.88,287112.79,3495217.80,286991.92,3495186.43,287238.43,,,,,,
05-10,23.80,3495117.98,287229.72,3495149.35,286983.21,3494199.27,286862.34,3494167.90,287108.85,,,,,,
05-11,23.80,3496103.89,287615.73,3496135.25,287369.22,3495185.17,287248.35,3495153.81,287494.86,,,,,,
05-12,23.80,3495085.36,287486.15,3495116.72,287239.64,3494166.64,287118.77,3494135.28,287365.28,,,,,,
05-13,23.80,3496072.03,287866.20,3496103.39,287619.70,3495153.31,287498.83,3495121.95,287745.34,,,,,,
05-14,23.80,3495053.50,287736.63,3495084.86,287490.12,3494134.78,287369.25,3494103.42,287615.76,,,,,,
05-15,23.54,3496039.75,288119.91,3496070.76,287876.14,3495120.68,287755.27,3495089.67,287999.05,,,,,,
05-16,23.54,3495021.22,287990.34,3495052.23,287746.56,3494102.15,287625.69,3494071.14,287869.47,,,,,,
05-17,23.01,3496007.54,288373.12,3496037.86,288134.79,3495087.78,288013.93,3495057.46,288252.26,,,,,,
05-18,23.01,3494989.00,288243.55,3495019.33,288005.22,3494069.25,287884.35,3494038.92,288122.68,,,,,,
05-19,23.80,3495974.91,288629.56,3496006.27,288383.05,3495056.19,288262.18,3495024.83,288508.69,,,,,,
05-20,23.80,3494956.38,288499.98,3494987.74,288253.47,3494037.66,288132.60,3494006.30,288379.11,,,,,,
05-21,23.80,3495943.05,288880.03,3495974.41,288633.53,3495024.33,288512.66,3494992.97,288759.17,,,,,,
05-22,23.80,3494924.52,288750.46,3494955.88,288503.95,3494005.80,288383.08,3493974.44,288629.59,,,,,,
05-23,23.80,3495910.42,289136.48,3495941.78,288889.97,3494991.70,288769.10,3494960.34,289015.61,,,,,,
05-24,23.80,3494891.89,289006.90,3494923.25,288760.39,3493973.17,288639.52,3493941.81,288886.03,,,,,,
05-25,23.80,3495878.56,289386.95,3495909.92,289140.45,3494959.84,289019.58,3494928.48,289266.09,,,,,,
05-26,23.80,3494860.03,289257.38,3494891.39,289010.87,3493941.31,288890.00,3493909.95,289136.51,,,,,,
05-27,23.80,3495845.93,289643.39,3495877.29,289396.88,3494927.21,289276.01,3494895.85,289522.52,,,,,,
05-28,23.80,3496836.68,289769.43,3496868.04,289522.92,3495917.96,289402.05,3495886.60,289648.56,,,,,,
05-29,23.80,3495814.07,289893.87,3495845.43,289647.35,3494895.35,289526.48,3494863.99,289773.00,,,,,,
05-30,23.80,3496804.82,290019.91,3496836.18,289773.40,3495886.10,289652.53,3495854.74,289899.04,,,,,,
05-31,23.67,3495781.86,290147.12,3495812.80,289903.78,3494862.72,289782.92,3494831.31,290029.94,,,,,,
05-32,23.43,3494777.72,290015.27,3494808.16,289775.98,3493852.13,289654.35,3493821.22,289897.37,,,,,,
06-01,24.22,3495323.57,285613.31,3494373.49,285492.44,3494341.58,285743.28,3495291.64,285864.29,,,,,,
06-02,24.23,3496310.17,285993.87,3496342.10,285742.89,3495392.02,285622.02,3495360.09,285873.00,,,,,,
06-03,23.80,3495324.83,285603.39,3495356.19,285356.88,3494406.11,285236.01,3494374.75,285482.52,,,,,,
06-04,23.80,3496343.36,285732.97,3496374.72,285486.46,3495424.64,285365.59,3495393.28,285612.10,,,,,,
06-05,23.80,3495356.70,285352.90,3495388.06,285106.38,3494437.98,284985.51,3494406.62,285232.03,,,,,,
06-06,23.80,3496375.23,285482.48,3496406.59,285235.96,3495456.51,285115.09,3495425.15,285361.61,,,,,,
06-07,23.80,3495389.32,285096.46,3495420.68,284849.95,3494470.60,284729.08,3494439.24,284975.59,,,,,,
06-08,23.80,3496407.85,285226.04,3496439.21,284979.53,3495489.13,284858.66,3495457.77,285105.17,,,,,,
06-09,23.80,3495421.19,284845.98,3495452.55,284599.47,3494502.47,284478.60,3494471.11,284725.11,,,,,,
06-10,23.80,3496439.72,284975.56,3496471.08,284729.05,3495521.00,284608.18,3495489.64,284854.69,,,,,,
06-11,23.80,3495453.81,284589.54,3495485.17,284343.03,3494535.09,284222.16,3494503.73,284468.67,,,,,,
06-12,23.80,3496472.34,284719.12,3496503.70,284472.61,3495553.62,284351.74,3495522.26,284598.25,,,,,,
06-13,23.80,3495485.68,284339.06,3495517.04,284092.55,3494566.96,283971.68,3494535.60,284218.19,,,,,,
06-14,23.80,3496504.21,284468.64,3496535.57,284222.13,3495585.49,284101.26,3495554.13,284347.77,,,,,,
06-15,23.01,3495518.30,284082.61,3495548.62,283844.30,3494598.54,283723.43,3494568.22,283961.76,,,,,,
06-16,23.01,3496536.83,284212.21,3496567.15,283973.88,3495617.07,283853.01,3495586.75,284091.34,,,,,,
06-17,23.01,3495551.21,283823.97,3495581.53,283585.64,3494631.45,283464.77,3494601.13,283703.10,,,,,,
06-18,23.01,3496569.74,283953.55,3496600.06,283715.22,3495649.98,283594.35,3495619.66,283832.68,,,,,,
06-19,23.40,3495582.79,283575.72,3495614.15,283329.21,3494663.03,283216.52,3494632.71,283454.85,,,,,,
06-20,23.80,3496601.32,283705.30,3496632.68,283458.79,3495682.60,283337.92,3495651.24,283584.43,,,,,,
06-21,23.01,3495615.41,283319.37,3495645.73,283080.96,3494694.61,282968.27,3494664.29,283206.60,,,,,,
06-22,23.80,3496633.19,283454.82,3496664.55,283208.31,3495714.47,283087.44,3495683.11,283333.95,,,,,,
06-23,23.01,3495646.99,283071.12,3495677.31,282832.71,3494726.19,282720.02,3494695.87,282958.35,,,,,,
06-24,23.80,3496665.81,283198.38,3496697.17,282951.87,3495747.09,282831.00,3495715.73,283077.51,,,,,,
06-25,23.12,3495679.53,282815.34,3495721.43,282486.01,3495067.16,282540.80,3494754.44,282498.06,,,,,,
06-26,23.80,3496697.68,282947.90,3496729.04,282701.39,3495778.96,282580.52,3495747.60,282827.03,,,,,,
06-28,16.99,3496730.30,282691.47,3496761.01,282450.10,3496236.73,282444.90,3495791.35,282483.15,,,,,,
07-02,24.50,3494228.43,286086.31,3494260.97,285830.52,3493317.77,285710.79,3493285.26,285966.32,,,,,,
07-04,23.63,3494195.81,286342.75,3494227.17,286096.24,3493284.00,285976.25,3493252.64,286222.76,,,,,,
07-06,23.63,3494163.94,286593.24,3494195.31,286346.71,3493252.14,286226.72,3493220.77,286473.25,,,,,,
07-08,23.63,3494131.32,286849.66,3494162.68,286603.15,3493219.51,286483.16,3493188.15,286729.67,,,,,,
07-10,23.63,3494099.45,287100.14,3494130.81,286853.63,3493187.64,286733.64,3493156.28,286980.15,,,,,,
07-12,23.63,3494066.83,287356.57,3494098.19,287110.06,3493155.02,286990.07,3493123.66,287236.58,,,,,,
07-14,23.63,3494034.97,287607.05,3494066.33,287360.54,3493123.15,287240.55,3493091.79,287487.06,,,,,,
07-16,23.36,3494002.69,287860.76,3494033.70,287616.98,3493090.53,287496.99,3493059.52,287740.77,,,,,,
07-18,22.84,3493970.47,288113.97,3494000.79,287875.64,3493057.62,287755.65,3493027.30,287993.98,,,,,,
07-20,23.63,3493937.85,288370.40,3493969.21,288123.89,3493026.04,288003.90,3492994.68,288250.41,,,,,,
07-22,23.63,3493905.99,288620.88,3493937.35,288374.37,3492994.17,288254.38,3492962.81,288500.89,,,,,,
07-24,10.79,3493355.00,288649.00,3493385.00,288637.00,3493565.00,288604.00,3493568.27,288587.11,,,,,,
07-26,23.63,3493841.50,289127.80,3493872.86,288881.29,3492929.68,288761.30,3492898.32,289007.81,,,,,,
07-28,23.63,3493808.87,289384.23,3493840.23,289137.72,3492897.06,289017.73,3492865.70,289264.24,,,,,,
07-30,23.63,3493777.01,289634.71,3493808.37,289388.20,3492865.19,289268.21,3492833.83,289514.72,,,,,,
07-32,24.26,3493743.79,289895.88,3493775.74,289644.63,3492832.57,289524.64,3492800.14,289779.56,,,,,,
08-01,24.28,3494307.02,285483.98,3493354.95,285362.86,3493323.03,285613.84,3494275.09,285734.96,,,,,,
08-03,23.85,3494308.28,285474.06,3494339.64,285227.55,3493387.57,285106.43,3493356.21,285352.94,,,,,,
08-05,23.85,3494340.15,285223.58,3494371.51,284977.05,3493419.44,284855.93,3493388.08,285102.45,,,,,,
08-07,23.85,3494372.77,284967.13,3494404.13,284720.62,3493452.06,284599.50,3493420.70,284846.01,,,,,,
08-09,23.85,3494404.64,284716.65,3494436.00,284470.14,3493483.93,284349.02,3493452.57,284595.53,,,,,,
08-11,23.85,3494437.26,284460.21,3494468.62,284213.70,3493516.55,284092.58,3493485.19,284339.09,,,,,,
08-13,23.85,3494469.13,284209.73,3494500.49,283963.22,3493548.42,283842.10,3493517.06,284088.61,,,,,,
08-15,23.06,3494501.75,283953.30,3494532.07,283714.97,3493579.99,283593.85,3493549.68,283832.18,,,,,,
08-17,23.06,3494534.66,283694.65,3494564.98,283456.32,3493612.91,283335.19,3493582.59,283573.53,,,,,,
08-19,23.85,3494566.24,283446.40,3494597.60,283199.89,3493645.53,283078.76,3493614.17,283325.27,,,,,,
08-21,23.85,3494598.11,283195.92,3494629.47,282949.41,3493677.40,282828.28,3493646.04,283074.79,,,,,,
08-23,23.85,3494630.73,282939.48,3494662.09,282692.97,3493710.02,282571.84,3493678.66,282818.35,,,,,,
08-25,23.85,3494662.60,282689.00,3494693.96,282442.49,3493741.89,282321.36,3493710.53,282567.87,,,,,,
08-27,23.85,3494695.22,282432.57,3494726.58,282186.06,3493774.51,282064.93,3493743.15,282311.44,,,,,,
08-29,23.85,3494727.09,282182.09,3494758.45,281935.58,3493806.38,281814.45,3493775.02,282060.96,,,,,,
08-31,27.56,3494759.71,281925.66,3494808.17,281544.71,3493831.65,281615.85,3493807.64,281804.53,,,,,,
09-02,24.94,3493211.88,285956.99,3493244.39,285701.48,3492283.31,285579.48,3492250.84,285834.73,,,,,,
09-04,24.07,3493179.27,286213.43,3493210.64,285966.93,3492249.58,285844.66,3492218.22,286091.16,,,,,,
09-06,24.08,3493147.39,286463.92,3493178.76,286217.39,3492217.71,286095.13,3492186.35,286341.66,,,,,,
09-08,24.07,3493114.77,286720.34,3493146.13,286473.82,3492185.09,286351.57,3492153.72,286598.08,,,,,,
09-10,24.07,3493082.90,286970.82,3493114.27,286724.31,3492153.22,286602.05,3492121.86,286848.56,,,,,,
09-12,24.07,3493050.28,287227.25,3493081.64,286980.74,3492120.60,286858.48,3492089.23,287104.99,,,,,,
09-14,24.08,3493018.42,287477.75,3493049.78,287231.22,3492088.73,287108.96,3492057.37,287355.48,,,,,,
09-16,23.81,3492986.14,287731.44,3493017.15,287487.66,3492056.10,287365.40,3492025.09,287609.18,,,,,,
09-18,23.28,3492953.93,287984.64,3492984.25,287746.31,3492023.20,287624.06,3491992.88,287862.38,,,,,,
09-20,24.07,3492921.30,288241.08,3492952.66,287994.57,3491991.61,287872.31,3491960.25,288118.82,,,,,,
09-22,24.07,3492889.44,288491.55,3492920.80,288245.05,3491959.75,288122.79,3491928.39,288369.29,,,,,,
09-24,24.07,3492856.81,288748.00,3492888.17,288501.49,3491927.12,288379.23,3491895.76,288625.74,,,,,,
09-26,24.07,3492824.95,288998.47,3492856.31,288751.97,3491895.26,288629.70,3491863.89,288876.21,,,,,,
09-28,24.07,3492792.32,289254.91,3492823.68,289008.40,3491862.63,288886.14,3491831.27,289132.65,,,,,,
